customer_id,order_number,delivery_date,delivery_week,final_payment_status,time_to_pay,payment_method,custom_meal_selection,state,channel,engagement_score,num_prior_orders_failed,num_prior_orders_unpaid,avg_recipe_rating
430,19785,20200203,2020-W06,Unpaid,,W,No,B,O,1,0,0,
433,1114,20200203,2020-W06,Paid,9,Z,Yes,D,D,62,1,0,2.50
443,2135,20200201,2020-W06,Paid,487,Z,No,F,D,1,0,0,
448,16412,20200203,2020-W06,Paid,100,Z,Yes,E,O,13,5,1,
449,15494,20200203,2020-W06,Paid,11,Z,No,F,O,17,0,0,
457,17962,20200201,2020-W06,Paid,45,Z,Yes,B,F2,14,16,2,
465,2466,20200203,2020-W06,Paid,136,Z,No,B,F2,1,0,0,
468,11846,20200201,2020-W06,Paid,1,X,Yes,B,I,5,1,0,
472,14541,20200201,2020-W06,Paid,32,Z,Yes,E,F2,8,0,0,
475,2407,20200202,2020-W06,Paid,5,Z,Yes,F,D,2,0,0,
491,9022,20200203,2020-W06,Paid,15,W,Yes,B,D,88,5,0,
495,13023,20200203,2020-W06,Paid,1,W,Yes,E,F2,31,3,0,4.00
499,6902,20200203,2020-W06,Paid,151,W,Yes,E,O,144,4,0,
501,22047,20200203,2020-W06,Paid,5,W,Yes,B,H,66,0,0,
503,23942,20200202,2020-W06,Paid,12,W,No,D,D,9,4,0,
506,5629,20200203,2020-W06,Cancelled,,X,Unknown,F,F2,2,0,0,
511,6318,20200202,2020-W06,Paid,5,W,No,B,H,32,1,0,
522,14670,20200203,2020-W06,Paid,2,Z,No,B,D,23,1,0,
527,22645,20200203,2020-W06,Paid,52,Z,Yes,D,F2,12,11,0,3.60
530,3212,20200203,2020-W06,Paid,47,Z,No,F,D,185,4,0,
532,19302,20200203,2020-W06,Paid,4,X,Yes,B,F3,9,5,0,4.00
534,3440,20200203,2020-W06,Paid,5,W,No,D,H,25,7,0,3.67
535,5585,20200201,2020-W06,Paid,1,Z,Yes,B,F1,1,0,0,4.00
546,14497,20200203,2020-W06,Paid,15,Z,No,E,P,192,35,2,
556,20553,20200203,2020-W06,Paid,2,Z,No,E,D,86,8,0,3.20
564,6246,20200201,2020-W06,Paid,1,Z,No,D,E,15,0,0,
565,5299,20200203,2020-W06,Paid,4,Z,No,D,F2,9,1,0,
575,5906,20200203,2020-W06,Paid,15,Z,No,E,O,137,7,0,
583,24079,20200202,2020-W06,Paid,21,Z,Yes,F,O,69,30,0,
585,5707,20200202,2020-W06,Paid,1,X,No,D,O,1,0,0,
589,10364,20200203,2020-W06,Paid,1,W,Yes,B,D,82,15,0,
592,7895,20200202,2020-W06,Paid,2,W,Yes,B,D,13,0,0,
596,8157,20200201,2020-W06,Other,1,Z,Unknown,B,S,2,1,1,
597,17304,20200203,2020-W06,Paid,16,Z,No,B,H,82,2,0,
599,8077,20200203,2020-W06,Paid,9,W,Yes,B,F2,4,2,0,
621,5022,20200203,2020-W06,Unpaid,,Z,No,A,O,1,0,0,
624,10123,20200203,2020-W06,Paid,5,Z,No,D,O,123,70,0,
629,22581,20200203,2020-W06,Paid,21,Z,No,F,F2,10,3,0,4.00
633,204,20200201,2020-W06,Paid,3,Z,Yes,A,O,4,4,1,
634,14021,20200203,2020-W06,Paid,19,W,Yes,B,D,119,4,0,
639,5586,20200201,2020-W06,Cancelled,,X,Unknown,B,D,2,1,0,
642,417,20200202,2020-W06,Paid,1,X,Yes,E,F2,1,0,0,
650,9132,20200201,2020-W06,Paid,15,Z,No,E,S,15,4,1,4.00
657,19653,20200201,2020-W06,Paid,431,Z,Yes,A,D,21,4,0,
662,2319,20200201,2020-W06,Paid,1,X,Yes,A,I,11,6,0,2.80
663,13316,20200202,2020-W06,Paid,5,Z,Yes,D,F2,2,0,0,
665,7536,20200202,2020-W06,Paid,21,Z,Yes,D,H,10,5,0,
668,23855,20200203,2020-W06,Paid,98,V,No,F,O,6,0,0,
680,23978,20200201,2020-W06,Paid,2,Z,Yes,D,O,124,15,0,2.00
681,1305,20200202,2020-W06,Paid,52,W,Yes,F,O,48,10,0,4.00
695,3685,20200203,2020-W06,Paid,22,X,Yes,B,H,42,0,0,4.00
698,18712,20200203,2020-W06,Unpaid,,Z,No,B,F1,1,0,0,
712,22635,20200202,2020-W06,Paid,5,Z,No,B,F1,27,7,0,3.67
718,23781,20200203,2020-W06,Paid,1,Z,No,D,F3,96,6,0,
723,4594,20200203,2020-W06,Paid,132,W,Yes,F,O,46,5,0,
726,14123,20200201,2020-W06,Paid,9,W,No,D,O,8,2,0,
727,7857,20200203,2020-W06,Paid,151,W,No,D,D,15,6,0,
728,24047,20200203,2020-W06,Paid,1,W,No,B,E,35,11,1,
731,5786,20200202,2020-W06,Paid,78,Z,No,F,O,48,19,1,
733,15174,20200203,2020-W06,Paid,15,Z,Yes,E,O,136,25,1,2.95
742,687,20200203,2020-W06,Paid,421,W,Yes,B,O,158,3,1,
743,24166,20200203,2020-W06,Paid,8,W,Yes,D,O,4,0,0,
748,40,20200203,2020-W06,Paid,28,W,Yes,D,F2,83,57,3,
764,8874,20200203,2020-W06,Paid,526,W,No,D,S,1,0,0,
771,813,20200203,2020-W06,Paid,12,Z,Yes,B,O,21,4,0,
777,9309,20200201,2020-W06,Cancelled,,X,Unknown,F,F3,1,0,0,
780,10229,20200203,2020-W06,Paid,1,W,Yes,F,O,1,0,0,
781,10375,20200203,2020-W06,Paid,29,X,Yes,F,O,12,8,2,4.00
783,23504,20200203,2020-W06,Paid,1,Z,Yes,D,H,119,2,0,
785,2997,20200203,2020-W06,Paid,22,X,No,F,H,9,0,0,
797,506,20200203,2020-W06,Paid,1,X,Yes,F,P,2,2,0,
798,22570,20200202,2020-W06,Paid,22,X,No,D,F2,8,2,0,
805,15671,20200203,2020-W06,Paid,5,Z,No,F,F2,158,4,0,
812,22971,20200203,2020-W06,Paid,15,Z,No,B,S,172,37,3,
814,6755,20200203,2020-W06,Unpaid,,V,Yes,B,E,26,0,0,
819,5347,20200203,2020-W06,Paid,5,Z,Yes,D,O,179,25,0,
836,16517,20200201,2020-W06,Unpaid,,Z,No,A,O,1,0,0,
838,5947,20200201,2020-W06,Paid,14,W,Yes,B,O,60,10,0,
842,2823,20200201,2020-W06,Paid,1,W,Yes,B,D,51,3,0,
843,12038,20200203,2020-W06,Paid,5,X,No,A,P,6,1,0,3.00
